Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoitpic.twitter.com/Wd5L42egV8,['justdoit'],nan,16000,522000,228000, 5 Sep 2018,10:09 AM 
"He’s done it again. 

Never stop chasing your crazy dreams. #justdoitpic.twitter.com/sVXo12E1r9",['justdoit'],nan,257,31000,6000, 23 Sep 2018,5:55 PM 
"Yesterday, 2:01:39 seemed crazy. Today, it’s the marathon world record. #justdoitpic.twitter.com/dm7JeOCPqN",['justdoit'],nan,214,29000,8900, 16 Sep 2018,3:56 AM 
Don't just be the fastest marathon runner in the world. Be the fastest in history. #justdoit @EliudKipchogepic.twitter.com/jGcoNy3Wsy,['justdoit'],['EliudKipchoge'],104,6100,2600, 15 Sep 2018,8:52 AM 
"Yeah, that’s more like it. #justdoit",['justdoit'],nan,1200,26000,5300, 5 Sep 2018,10:14 AM 
"If you’re a girl from Compton, don’t just become a tennis player.
Dream of being the greatest athlete ever.",nan,nan,310,19000,3600, 5 Sep 2018,10:14 AM 
"If you have only one hand, don’t just watch football, play it. At the highest level.",nan,nan,194,11000,2000, 5 Sep 2018,10:14 AM 
"When they talk about the greatest team in the history of the sport, make sure it’s your team.",nan,nan,168,11000,2400, 5 Sep 2018,10:14 AM 
"Believe in something, even if it means sacrificing everything.",nan,nan,1200,36000,17000, 5 Sep 2018,10:14 AM 
Don’t become the best basketball player on the planet. Be bigger than basketball.,nan,nan,84,12000,2500, 5 Sep 2018,10:14 AM 
"If you’re born a refugee, don’t let it stop you from playing soccer for the national team — at age 16.",nan,nan,92,12000,2300, 5 Sep 2018,10:14 AM 
Don’t believe you have to be like anybody to be somebody.,nan,nan,125,26000,13000, 5 Sep 2018,10:14 AM 
"Lose 120 pounds and become an ironman, after beating a brain tumor.",nan,nan,68,11000,1800, 5 Sep 2018,10:14 AM 
Don’t settle for homecoming queen or linebacker. Do both.,nan,nan,249,19000,3400, 5 Sep 2018,10:14 AM 
Don’t picture yourself wearing OBJ’s jersey. Picture OBJ wearing yours.,nan,nan,98,14000,2900, 5 Sep 2018,10:14 AM 
