records;tweet;hashtag;mentions;reply;like;retweet;date;time
0;Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoitpic.twitter.com/Wd5L42egV8;['justdoit'];;16000.0;522000;228000; 5 Sep 2018;10:09 AM
1;"He’s done it again.

Never stop chasing your crazy dreams. #justdoitpic.twitter.com/sVXo12E1r9";['justdoit'];;257.0;31000;6000; 23 Sep 2018;5:55 PM
2;Yesterday, 2:01:39 seemed crazy. Today, it’s the marathon world record. #justdoitpic.twitter.com/dm7JeOCPqN;['justdoit'];;214.0;29000;8900; 16 Sep 2018;3:56 AM
3;Don't just be the fastest marathon runner in the world. Be the fastest in history. #justdoit @EliudKipchogepic.twitter.com/jGcoNy3Wsy;['justdoit'];['EliudKipchoge'];104.0;6100;2600; 15 Sep 2018;8:52 AM
4;Yeah, that’s more like it. #justdoit;['justdoit'];;1200.0;26000;5300; 5 Sep 2018;10:14 AM
5;"If you’re a girl from Compton, don’t just become a tennis player.
Dream of being the greatest athlete ever.";;;310.0;19000;3600; 5 Sep 2018;10:14 AM
6;If you have only one hand, don’t just watch football, play it. At the highest level.;;;194.0;11000;2000; 5 Sep 2018;10:14 AM
7;When they talk about the greatest team in the history of the sport, make sure it’s your team.;;;168.0;11000;2400; 5 Sep 2018;10:14 AM
8;Believe in something, even if it means sacrificing everything.;;;1200.0;36000;17000; 5 Sep 2018;10:14 AM
9;Don’t become the best basketball player on the planet. Be bigger than basketball.;;;84.0;12000;2500; 5 Sep 2018;10:14 AM
10;If you’re born a refugee, don’t let it stop you from playing soccer for the national team — at age 16.;;;92.0;12000;2300; 5 Sep 2018;10:14 AM
11;Don’t believe you have to be like anybody to be somebody.;;;125.0;26000;13000; 5 Sep 2018;10:14 AM
12;Lose 120 pounds and become an ironman, after beating a brain tumor.;;;68.0;11000;1800; 5 Sep 2018;10:14 AM
13;Don’t settle for homecoming queen or linebacker. Do both.;;;249.0;19000;3400; 5 Sep 2018;10:14 AM
14;Don’t picture yourself wearing OBJ’s jersey. Picture OBJ wearing yours.;;;98.0;14000;2900; 5 Sep 2018;10:14 AM
15;Don’t try to be the fastest runner in your school or the fastest in the world. Be the fastest ever.;;;187.0;14000;2900; 5 Sep 2018;10:14 AM
16;Believe in something, even if it means sacrificing everything. #JustDoItpic.twitter.com/SRWkMIDdaO;['JustDoIt'];;47000.0;921000;370000; 3 Sep 2018;12:20 PM
17;It’s only a crazy dream until you do it. #justdoit @serenawilliamspic.twitter.com/8XUuJwBbXw;['justdoit'];['serenawilliams'];1300.0;106000;36000; 27 Aug 2018;8:21 AM
18;You can take the superhero out of her costume, but you can never take away her superpowers. #justdoitpic.twitter.com/dDB6D9nzaD;['justdoit'];;2500.0;296000;124000; 24 Aug 2018;9:34 PM
19;"Be the one they fear. #AwakenThePhantom 

The new Nike PhantomVSN is available now at http://nike.com/football 

Feat. @Phil_Coutinho, @MalPugh, @DeBruyneKev, @neymarjr, @10Ronaldinho, @Pirlo_official, Gennaro Gattuso, @xsimons10 & @Aubameyang7pic.twitter.com/dgPYAMlc0T";['AwakenThePhantom'];['Phil_Coutinho', 'MalPugh', 'DeBruyneKev', 'neymarjr', '10Ronaldinho', 'Pirlo_official', 'xsimons10', 'Aubameyang7'];594.0;22000;9300; 10 Aug 2018;3:00 AM
20;Nerve Beats Nasty. Congratulations @F_Molinari on winning the Open Championship at Carnoustie Golf Links. #TheOpen #nike;['TheOpen', 'nike'];['F_Molinari'];107.0;915;99; 22 Jul 2018;11:11 AM
21;A Star is born. @KMbappe #JustDoItpic.twitter.com/cn8eqmUuuq;['JustDoIt'];['KMbappe'];273.0;37000;7700; 15 Jul 2018;11:04 AM
22;Belief born in the streets of France. #JustDoItpic.twitter.com/t3rYXJz7Kw;['JustDoIt'];;140.0;10000;5100; 15 Jul 2018;10:12 AM
23;"Play as one. Fight as one. Believe as one.
⠀ ⠀
Believe. #JustDoItpic.twitter.com/ZgDi1Lwi96";['JustDoIt'];;84.0;2300;375; 14 Jul 2018;3:01 PM
24;"No love lost.

The greatest athlete ever is the mother of all inspiration. #justdoitpic.twitter.com/BUspq4xlxF";['justdoit'];;155.0;12000;2300; 14 Jul 2018;1:55 PM
25;Unstoppable belief. #justdoitpic.twitter.com/9Axn3glvwz;['justdoit'];;152.0;42000;15000; 11 Jul 2018;1:37 PM
26;Believe > Pressure @KMbappe #JustDoitpic.twitter.com/UzNdjJBS6z;['JustDoit'];['KMbappe'];85.0;6700;1800; 10 Jul 2018;12:59 PM
27;"Again. And again. And again. And again. And again. And again. And again. And again. And again. And again.
⠀
A historic 11 majors on clay, and counting. @RafaelNadal #nike #justdoitpic.twitter.com/EgdPZ5k1kD";['nike', 'justdoit'];['RafaelNadal'];473.0;16000;5500; 10 Jun 2018;9:00 AM
28;"Self belief makes believers.

@Simona_Halep fearlessly captures her first major title on the clay in Paris. #nike #justdoitpic.twitter.com/aTew6s4CQ6";['nike', 'justdoit'];['Simona_Halep'];141.0;4700;889; 9 Jun 2018;8:29 AM
29;"A champion never settles for one.

@KDTrey5 #JustDoIt #NBAFinalspic.twitter.com/8PXOHhCvwq";['JustDoIt', 'NBAFinals'];['KDTrey5'];735.0;27000;9900; 8 Jun 2018;8:30 PM
